tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
325,4/30/2016 16:36:52,4/30/2016 16:42:18,293,Lafayette St & E 8 St,40.73028666,-73.9907647,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,19496,Subscriber,1986.0,1
478,4/30/2016 16:36:52,4/30/2016 16:44:50,307,Canal St & Rutgers St,40.71427487,-73.98990025,257,Lispenard St & Broadway,40.71939226,-74.00247214,24220,Subscriber,1984.0,2
653,4/30/2016 16:36:53,4/30/2016 16:47:47,361,Allen St & Hester St,40.71605866,-73.99190759,147,Greenwich St & Warren St,40.71542197,-74.01121978,22945,Subscriber,1990.0,1
3700,4/30/2016 16:36:53,4/30/2016 17:38:34,3177,W 84 St & Broadway,40.7867947,-73.977112,435,W 21 St & 6 Ave,40.74173969,-73.99415556,14689,Customer,,0
819,4/30/2016 16:36:52,4/30/2016 16:50:32,3158,W 63 St & Broadway,40.77163851,-73.98261428,510,W 51 St & 6 Ave,40.7606597,-73.98042047,22482,Subscriber,1989.0,2
2501,4/30/2016 16:36:54,4/30/2016 17:18:35,520,W 52 St & 5 Ave,40.75992262,-73.97648516,225,W 14 St & The High Line,40.74195138,-74.00803013,19717,Customer,,0
238,4/30/2016 16:36:54,4/30/2016 16:40:53,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,229,Great Jones St,40.72743423,-73.99379025,19564,Subscriber,1991.0,1
2376,4/30/2016 16:36:54,4/30/2016 17:16:31,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,17272,Customer,,0
940,4/30/2016 16:36:56,4/30/2016 16:52:36,476,E 31 St & 3 Ave,40.74394314,-73.97966069,468,Broadway & W 55 St,40.7652654,-73.98192338,22046,Subscriber,1976.0,1
1808,4/30/2016 16:36:56,4/30/2016 17:07:05,426,West St & Chambers St,40.71754834,-74.01322069,405,Washington St & Gansevoort St,40.739323,-74.008119,15794,Subscriber,1956.0,1
